Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2018,June,3 Southern Metro, Cardinia,"5,835","5,447.3"
2018,June,3 Southern Metro, Casey,"20,164","5,922.9"
2018,June,3 Southern Metro, Frankston,"14,783","10,421.8"
2018,June,3 Southern Metro, Glen Eira,"6,548","4,254.2"
2018,June,3 Southern Metro, Greater Dandenong,"18,357","11,049.1"
2018,June,3 Southern Metro, Kingston,"10,527","6,440.4"
2018,June,3 Southern Metro, Mornington Peninsula,"10,879","6,560.6"
2018,June,3 Southern Metro, Port Phillip,"12,868","11,361.0"
2018,June,3 Southern Metro, Stonnington,"10,551","9,073.7"
2018,June,3 Southern Metro,Total,"115,279","7,323.8"
2018,June,4 Western, Ararat,"1,287","10,911.4"
2018,June,4 Western, Ballarat,"11,422","10,642.5"
2018,June,4 Western, Buloke,247,"3,994.8"
2018,June,4 Western, Campaspe,"3,571","9,499.9"
2018,June,4 Western, Central Goldfields,"1,603","12,136.6"
2018,June,4 Western, Colac-Otway,"1,586","7,376.1"
2018,June,4 Western, Corangamite,849,"5,260.5"
2018,June,4 Western, Gannawarra,568,"5,385.9"
2018,June,4 Western, Glenelg,"1,544","7,851.9"
2018,June,4 Western, Golden Plains,681,"2,945.8"
2018,June,4 Western, Greater Bendigo,"9,735","8,389.3"
2018,June,4 Western, Greater Geelong,"21,595","8,561.7"
2018,June,4 Western, Hepburn,842,"5,325.1"
2018,June,4 Western, Hindmarsh,334,"5,917.8"
2018,June,4 Western, Horsham,"2,482","12,488.7"
2018,June,4 Western, Loddon,412,"5,483.8"
2018,June,4 Western, Macedon Ranges,"2,097","4,246.1"
2018,June,4 Western, Mildura,"6,642","11,964.1"
2018,June,4 Western, Moorabool,"2,296","6,722.1"
2018,June,4 Western, Mount Alexander,869,"4,453.2"
2018,June,4 Western, Moyne,537,"3,180.0"
2018,June,4 Western, Northern Grampians,"1,022","8,941.4"
2018,June,4 Western, Pyrenees,420,"5,712.0"
2018,June,4 Western, Queenscliffe,294,"9,859.2"
2018,June,4 Western, Southern Grampians,"1,508","9,346.7"
2018,June,4 Western, Surf Coast,"1,130","3,503.7"
2018,June,4 Western, Swan Hill,"2,518","12,129.1"
2018,June,4 Western, Warrnambool,"3,659","10,495.4"
2018,June,4 Western, West Wimmera,159,"4,117.0"
2018,June,4 Western, Yarriambiack,523,"7,855.2"
2018,June,4 Western,Total,"82,432","8,276.8"
2018,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,541",
2018,June,Justice Institutions and Immigration Facilities,Total,"2,541",
2018,June,Unincorporated Vic, Unincorporated Vic,126,
2018,June,Unincorporated Vic,Total,126,
2017,June,1 North West Metro, Banyule,"9,658","7,480.2"
2017,June,1 North West Metro, Brimbank,"17,863","8,629.6"
2017,June,1 North West Metro, Darebin,"16,355","10,302.3"
2017,June,1 North West Metro, Hobsons Bay,"6,322","6,649.8"
2017,June,1 North West Metro, Hume,"21,916","10,182.2"
2017,June,1 North West Metro, Maribyrnong,"8,686","9,720.0"
2017,June,1 North West Metro, Melbourne,"36,935","23,209.0"
2017,June,1 North West Metro, Melton,"11,147","7,500.4"
2017,June,1 North West Metro, Moonee Valley,"9,431","7,520.1"
2017,June,1 North West Metro, Moreland,"13,916","7,863.3"
2017,June,1 North West Metro, Nillumbik,"2,744","4,246.5"
2017,June,1 North West Metro, Whittlesea,"16,117","7,472.4"
2017,June,1 North West Metro, Wyndham,"14,731","6,110.6"
2017,June,1 North West Metro, Yarra,"13,430","13,990.5"
2017,June,1 North West Metro,Total,"199,251","9,389.6"
2017,June,2 Eastern, Alpine,379,"2,998.9"
2017,June,2 Eastern, Bass Coast,"2,647","7,697.9"
2017,June,2 Eastern, Baw Baw,"3,871","7,638.7"
2017,June,2 Eastern, Benalla,"1,309","9,367.4"
2017,June,2 Eastern, Boroondara,"8,350","4,647.2"
2017,June,2 Eastern, East Gippsland,"3,888","8,427.3"
2017,June,2 Eastern, Greater Shepparton,"8,324","12,697.9"
2017,June,2 Eastern, Indigo,457,"2,798.0"
2017,June,2 Eastern, Knox,"12,105","7,480.2"
2017,June,2 Eastern, Latrobe,"13,928","18,593.5"
2017,June,2 Eastern, Manningham,"5,194","4,179.6"
2017,June,2 Eastern, Mansfield,637,"7,241.9"
2017,June,2 Eastern, Maroondah,"8,925","7,672.7"
2017,June,2 Eastern, Mitchell,"4,582","10,679.9"
2017,June,2 Eastern, Moira,"1,979","6,674.1"
2017,June,2 Eastern, Monash,"11,721","5,952.1"
2017,June,2 Eastern, Murrindindi,671,"4,714.1"
2017,June,2 Eastern, South Gippsland,"1,587","5,412.5"
2017,June,2 Eastern, Strathbogie,632,"6,028.2"
2017,June,2 Eastern, Towong,207,"3,427.7"
2017,June,2 Eastern, Wangaratta,"2,473","8,571.0"
2017,June,2 Eastern, Wellington,"4,386","10,013.5"
2017,June,2 Eastern, Whitehorse,"8,544","4,931.2"
2017,June,2 Eastern, Wodonga,"3,266","8,002.5"
2017,June,2 Eastern, Yarra Ranges,"8,540","5,444.0"
2017,June,2 Eastern,Total,"118,602","7,065.3"
2017,June,3 Southern Metro, Bayside,"5,159","4,947.2"
2017,June,3 Southern Metro, Cardinia,"6,606","6,451.0"
2017,June,3 Southern Metro, Casey,"23,499","7,191.3"
2017,June,3 Southern Metro, Frankston,"15,822","11,243.8"
2017,June,3 Southern Metro, Glen Eira,"7,532","4,973.0"
2017,June,3 Southern Metro, Greater Dandenong,"19,900","12,169.9"
2017,June,3 Southern Metro, Kingston,"11,282","7,005.2"
2017,June,3 Southern Metro, Mornington Peninsula,"11,638","7,103.5"
2017,June,3 Southern Metro, Port Phillip,"13,620","12,308.4"
2017,June,3 Southern Metro, Stonnington,"10,832","9,520.8"
2017,June,3 Southern Metro,Total,"125,890","8,182.8"
2017,June,4 Western, Ararat,"1,304","11,092.2"
2017,June,4 Western, Ballarat,"11,970","11,354.4"
2017,June,4 Western, Buloke,177,"2,852.5"
2017,June,4 Western, Campaspe,"3,540","9,415.6"
2017,June,4 Western, Central Goldfields,"1,227","9,332.2"
2017,June,4 Western, Colac-Otway,"2,096","9,780.7"
2017,June,4 Western, Corangamite,"1,080","6,662.6"
2017,June,4 Western, Gannawarra,664,"6,282.5"
2017,June,4 Western, Glenelg,"1,665","8,455.2"
2017,June,4 Western, Golden Plains,752,"3,332.2"
2017,June,4 Western, Greater Bendigo,"10,556","9,252.3"
2017,June,4 Western, Greater Geelong,"22,670","9,225.6"
2017,June,4 Western, Hepburn,849,"5,432.2"
2017,June,4 Western, Hindmarsh,411,"7,187.8"
2017,June,4 Western, Horsham,"2,578","12,964.5"
2017,June,4 Western, Loddon,411,"5,474.9"
2017,June,4 Western, Macedon Ranges,"2,222","4,588.8"
2017,June,4 Western, Mildura,"6,763","12,264.7"
2017,June,4 Western, Moorabool,"2,513","7,514.5"
2017,June,4 Western, Mount Alexander,"1,117","5,788.5"
2017,June,4 Western, Moyne,705,"4,198.2"
2017,June,4 Western, Northern Grampians,"1,252","10,870.9"
2017,June,4 Western, Pyrenees,543,"7,379.7"
2017,June,4 Western, Queenscliffe,151,"5,103.1"
2017,June,4 Western, Southern Grampians,"1,330","8,249.1"
2017,June,4 Western, Surf Coast,"1,316","4,198.2"
2017,June,4 Western, Swan Hill,"2,288","10,975.2"
2017,June,4 Western, Warrnambool,"3,458","10,003.2"
2017,June,4 Western, West Wimmera,198,"5,084.7"
2017,June,4 Western, Yarriambiack,454,"6,792.3"
2017,June,4 Western,Total,"86,260","8,788.2"
2017,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,055",
2017,June,Justice Institutions and Immigration Facilities,Total,"2,055",
2017,June,Unincorporated Vic, Unincorporated Vic,138,
2017,June,Unincorporated Vic,Total,138,
2016,June,1 North West Metro, Banyule,"10,015","7,858.2"
2016,June,1 North West Metro, Brimbank,"19,606","9,601.8"
2016,June,1 North West Metro, Darebin,"16,580","10,688.1"
2016,June,1 North West Metro, Hobsons Bay,"6,998","7,488.9"
2016,June,1 North West Metro, Hume,"22,609","10,920.1"
2016,June,1 North West Metro, Maribyrnong,"9,304","10,701.4"
2016,June,1 North West Metro, Melbourne,"36,161","24,751.5"
2016,June,1 North West Metro, Melton,"12,179","8,611.9"
